filename,table_struct_p,table_struct_r,table_struct_f1,table_struct_avg_sim,table_semantic_p,table_semantic_r,table_semantic_f1,table_semantic_avg_sim
eval_split/succes/processed_00_documents_eval/5128/d86f1398dde4792a4c5e60eec529855a5ab4-8/d86f1398dde4792a4c5e60eec529855a5ab4-8.md,0.0,0.0,0.0,0.142,0.0,0.0,0.0,0.0257
eval_split/succes/processed_00_documents_eval/5702/d0f291237b4c67762c29907bf80877700b3a-2/d0f291237b4c67762c29907bf80877700b3a-2.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8144
graphic/alpha_calc_intro/alpha_calc_intro.md,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4945
graphic/exp1/exp1.md,0.5,0.5,0.5,0.4148,0.5,0.5,0.5,0.4189
graphic/figure_in_table/figure_in_table.md,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5875
graphic/pic_catalog/pic_catalog.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
graphic/posicube_2/posicube_2.md,0.0,0.0,0.0,0.0946,0.0,0.0,0.0,0.0396
graphic/text_in_figure/text_in_figure.md,0.0,0.0,0.0,0.3182,0.0,0.0,0.0,0.3375
multicolumn/529c0e36ceb9881d6f2fbf9e86f8f3d99553-7/529c0e36ceb9881d6f2fbf9e86f8f3d99553-7.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multicolumn/exp1/exp1.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9877
multicolumn/gen_ai/gen_ai.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
table/table_01/table_01.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
table/table_02/table_02.md,0.0,0.0,0.0,0.2616,0.0,0.0,0.0,0.3
table/table_10/table_10.md,0.8571,0.8571,0.8571,0.8079,0.8571,0.8571,0.8571,0.8121
table/table_115/table_115.md,0.6,0.6,0.6,0.5921,0.4,0.4,0.4,0.5666
table/table_13/table_13.md,0.0,0.0,0.0,0.2379,0.0,0.0,0.0,0.2783
table/table_15/table_15.md,0.1429,0.3333,0.2,0.587,0.1429,0.3333,0.2,0.5837
table/table_20/table_20.md,0.4286,0.75,0.5455,0.6776,0.2857,0.5,0.3636,0.5981
table/table_71/table_71.md,0.0,0.0,0.0,0.3067,0.0,0.0,0.0,0.2871
table/table_74/table_74.md,0.4286,0.6,0.5,0.7129,0.2857,0.4,0.3333,0.5508
table/table_84/table_84.md,0.625,1.0,0.7692,0.8288,0.625,1.0,0.7692,0.7972
